bathrooms,bedrooms,price,square_feet,latitude,longitude,time,number_of_amenities
1.0,0.0,1390,107,38.891,-77.0816,1577359410,0
1.0,0.0,925,116,47.616,-122.3275,1576667743,0
1.0,0.0,2475,130,40.7629,-73.9885,1577289784,5
1.0,0.0,1495,138,37.7599,-122.4379,1577358313,1
1.0,0.0,1695,190,37.7599,-122.4379,1577015121,1
1.0,1.0,1560,200,35.0847,-77.0609,1576618076,8
1.0,1.0,1560,200,35.096,-77.0272,1576406273,8
1.0,1.0,1000,200,30.0871,-95.4685,1577015327,0
1.0,1.0,950,200,38.1172,-122.2313,1577359918,0
1.0,1.0,625,200,33.9649,-84.5107,1577359224,1
1.0,1.0,600,200,35.2016,-80.8124,1576322215,0
1.0,1.0,544,200,30.4601,-84.2714,1577359108,7
1.0,1.0,450,200,33.5178,-112.0848,1577015539,1
1.0,1.0,750,215,27.8492,-82.3155,1577015260,0
1.0,1.0,2000,219,32.8956,-85.4351,1577359217,0
1.0,1.0,1400,219,37.7599,-122.4379,1577359209,0
1.0,1.0,1095,219,39.1634,-76.6165,1577359234,0
1.0,1.0,915,219,39.5816,-105.0387,1577015007,1
1.0,1.0,900,219,38.621,-76.9225,1577015319,1
1.0,1.0,865,219,27.8492,-82.3155,1577015248,1
1.0,1.0,725,219,39.6828,-104.8078,1577014995,0
1.0,1.0,650,219,38.7418,-77.4684,1577359248,0
1.0,1.0,650,219,33.7416,-84.2614,1577015182,0
1.0,1.0,645,219,28.0076,-82.4792,1577359235,0
1.0,1.0,595,219,35.1038,-106.611,1577359326,0
1.0,0.0,1195,223,47.616,-122.3275,1577359975,0
1.0,0.0,1150,225,47.616,-122.3275,1577360412,0
1.0,1.0,942,225,41.8625,-87.6825,1577359301,5
1.0,0.0,1250,228,47.616,-122.3275,1577360296,0
1.0,1.0,800,230,35.224,-81.1809,1576666501,0
1.0,1.0,685,230,27.7011,-82.3178,1577015249,0
1.0,1.0,525,230,35.1211,-89.9517,1577359551,0
1.0,0.0,1095,231,47.616,-122.3275,1577360334,0
1.0,0.0,1695,232,37.7599,-122.4379,1577358464,2
1.0,1.0,775,240,48.7871,-122.4437,1577360135,0
1.0,0.0,1299,243,47.616,-122.3275,1577359586,0
1.0,1.0,705,245,61.1723,-149.8414,1577359000,1
1.0,1.0,1800,250,37.6019,-122.4863,1577015133,0
1.0,1.0,1600,250,33.9855,-118.4532,1576322048,1
1.0,1.0,1500,250,37.7599,-122.4379,1577359213,0
1.0,1.0,1330,250,34.145,-118.3898,1577015755,0
1.0,1.0,1310,250,34.2805,-118.8861,1577359152,0
1.0,1.0,1300,250,33.8363,-118.333,1577015787,1
1.0,1.0,1295,250,38.5587,-121.432,1577014892,0
1.0,1.0,1255,250,34.2017,-118.492,1576322123,1
1.0,1.0,1250,250,47.616,-122.3275,1577015295,0
1.0,1.0,1250,250,34.1881,-118.3905,1575976767,0
1.0,1.0,1200,250,39.736,-104.9819,1577015008,0
1.0,1.0,1200,250,39.6828,-104.8078,1577015098,0
1.0,1.0,1175,250,37.9353,-121.6935,1577359008,0
1.0,1.0,1155,250,37.9917,-122.5247,1577015122,0
1.0,1.0,1150,250,39.1088,-77.2384,1577015215,1
1.0,1.0,1145,250,42.6484,-71.1615,1577359272,1
1.0,1.0,1135,250,37.7904,-122.2151,1577359210,0
1.0,1.0,1115,250,37.9724,-122.3304,1577359208,0
1.0,0.0,1095,250,41.8625,-87.6825,1577016975,0
1.0,1.0,1090,250,38.7999,-77.1072,1577359248,0
1.0,1.0,1075,250,41.8625,-87.6825,1577015605,0
1.0,1.0,1050,250,34.2009,-118.8636,1577359156,1
1.0,1.0,1050,250,39.736,-104.9819,1577359188,0
1.0,1.0,1045,250,38.786,-77.2858,1577015325,0
1.0,1.0,1025,250,47.5988,-122.1507,1577359245,0
1.0,1.0,1025,250,39.8163,-98.5576,1577015259,0
1.0,1.0,1005,250,38.3918,-121.2234,1577014891,0
1.0,1.0,1000,250,34.1677,-118.6141,1577359157,0
1.0,1.0,1000,250,25.7603,-80.3005,1577359231,0
1.0,1.0,1000,250,38.9633,-76.9375,1577359233,0
1.0,1.0,1000,250,39.8644,-105.0454,1577015098,0
1.0,1.0,1000,250,39.6828,-104.8078,1577015002,0
1.0,1.0,1000,250,39.8228,-105.1107,1577015097,0
1.0,1.0,1000,250,33.7606,-118.0806,1576666443,0
1.0,1.0,975,250,33.1463,-117.1694,1577359240,1
1.0,1.0,965,250,39.8587,-74.8101,1577015665,0
1.0,1.0,955,250,39.1634,-76.6165,1577359262,0
1.0,1.0,950,250,39.5816,-105.0387,1577015096,0
1.0,1.0,950,250,39.6828,-104.8078,1577015098,0
1.0,1.0,930,250,37.9682,-122.0091,1577015146,0
1.0,1.0,925,250,39.9999,-105.0993,1577358925,0
1.0,1.0,925,250,32.6197,-117.0226,1577015266,0
1.0,1.0,925,250,39.1634,-76.6165,1577015099,1
1.0,1.0,915,250,39.5516,-104.969,1577358488,0
1.0,1.0,900,250,39.0976,-76.8614,1577359251,1
1.0,1.0,900,250,28.5163,-81.3644,1577359122,1
1.0,1.0,900,250,40.0213,-105.2552,1577358924,0
1.0,1.0,900,250,39.6828,-104.8078,1577015097,0
1.0,1.0,900,250,34.0291,-117.9457,1576666494,1
1.0,1.0,900,250,33.8323,-117.9079,1575976769,0
1.0,1.0,895,250,39.8312,-104.8942,1577015009,0
1.0,1.0,895,250,39.8228,-105.1107,1577015097,0
1.0,1.0,875,250,38.8738,-77.1055,1577015322,0
1.0,1.0,865,250,26.1806,-81.7257,1577358931,0
1.0,1.0,865,250,33.7848,-84.3922,1577359222,1
1.0,1.0,860,250,27.3181,-82.4987,1577359138,1
1.0,1.0,855,250,39.6828,-104.8078,1577359190,0
1.0,1.0,850,250,38.69,-77.2065,1577359251,1
1.0,1.0,850,250,40.0994,-104.8079,1577358918,4
1.0,1.0,850,250,38.6487,-77.3152,1577359250,1
1.0,1.0,850,250,36.137,-86.783,1577359107,0
1.0,1.0,850,250,27.7873,-82.6772,1577015259,0
1.0,1.0,850,250,45.5091,-122.6449,1577014971,0
1.0,1.0,825,250,39.4324,-76.3552,1577015366,0
1.0,1.0,805,250,33.7848,-84.3922,1577359229,1
1.0,1.0,800,250,39.9156,-105.0876,1577358924,0
1.0,1.0,800,250,39.6169,-104.919,1577359189,1
1.0,1.0,800,250,39.0287,-77.2409,1577359232,0
1.0,1.0,800,250,28.905,-81.2156,1577359129,0
1.0,1.0,800,250,38.1255,-121.2878,1577359136,0
1.0,1.0,800,250,30.2989,-81.6324,1577014825,0
1.0,1.0,795,250,39.4904,-104.7265,1577359188,0
1.0,1.0,785,250,38.6968,-104.6969,1577359135,0
1.0,1.0,785,250,40.5649,-105.0824,1577358930,0
1.0,1.0,760,250,40.4067,-105.0984,1577358930,0
1.0,1.0,755,250,28.7026,-81.3885,1577359122,1
1.0,1.0,755,250,39.6103,-75.6896,1577358946,0
1.0,1.0,755,250,40.2776,-76.7088,1577358630,0
1.0,1.0,750,250,33.945,-117.4074,1577359206,0
1.0,1.0,750,250,27.2897,-80.3421,1577359020,0
1.0,1.0,750,250,39.1774,-77.2569,1577359252,1
